customer_city,customer_state,product_category_name_english,total_orders,avg_payment_value,avg_payment_installments,avg_freight_value,avg_price,avg_products_ordered
"catu de abrantes",BA,agro_industry_and_commerce,1,1134.440000,3.0000,69.220000,498.000000,1
caturama,BA,telephony,1,40.790000,4.0000,20.800000,19.990000,1
central,BA,books_general_interest,1,142.890000,10.0000,23.390000,119.500000,1
chorrocho,BA,garden_tools,1,73.180000,1.0000,23.280000,49.900000,1
"cicero dantas",BA,health_beauty,3,95.707500,4.0000,24.617500,93.935000,3
cipo,BA,garden_tools,1,230.120000,3.0000,51.120000,179.000000,1
coaraci,BA,cool_stuff,1,170.280000,4.0000,20.290000,149.990000,1
coaraci,BA,housewares,1,1143.220000,5.0000,194.220000,949.000000,1
coaraci,BA,furniture_decor,1,119.660000,4.0000,29.670000,89.990000,1
coaraci,BA,electronics,1,34.960000,1.0000,22.060000,12.900000,1
cocos,BA,bed_bath_table,1,73.270000,1.0000,23.280000,49.990000,1
"conceicao da feira",BA,toys,1,134.760000,5.0000,29.770000,104.990000,1
"conceicao da feira",BA,furniture_decor,1,334.095000,5.5000,84.595000,249.500000,2
"conceicao do almeida",BA,tablets_printing_image,1,120.140000,1.0000,21.140000,99.000000,1
"conceicao do coite",BA,cool_stuff,1,168.150000,3.0000,35.450000,132.700000,1
"conceicao do coite",BA,pet_shop,1,148.390000,2.0000,22.590000,125.800000,1
"conceicao do coite",BA,garden_tools,1,145.760000,10.0000,18.980000,53.900000,1
"conceicao do coite",BA,sports_leisure,1,34.690000,1.0000,16.790000,17.900000,1
"conceicao do coite",BA,telephony,1,87.840000,8.0000,16.940000,70.900000,1
"conceicao do coite",BA,baby,1,187.750000,6.0000,18.750000,169.000000,1
"conceicao do coite",BA,office_furniture,1,278.750000,1.0000,108.850000,169.900000,1
"conceicao do coite",BA,luggage_accessories,1,61.180000,2.0000,23.280000,37.900000,1
"conceicao do coite",BA,bed_bath_table,1,194.530000,4.0000,28.540000,165.990000,1
"conceicao do jacuipe",BA,telephony,1,52.050000,1.0000,22.060000,29.990000,1
"conceicao do jacuipe",BA,home_appliances,1,52.490000,1.0000,19.590000,32.900000,1
"conceicao do jacuipe",BA,fashion_bags_accessories,1,142.540000,2.0000,27.540000,115.000000,1
conde,BA,consoles_games,2,440.760000,2.5000,31.260000,409.500000,2
condeuba,BA,perfumery,1,73.830000,3.0000,16.840000,56.990000,1
"coracao de maria",BA,stationery,1,306.060000,6.0000,26.160000,279.900000,1
cordeiros,BA,musical_instruments,1,363.640000,1.0000,40.890000,322.750000,1
coribe,BA,bed_bath_table,2,83.195000,7.5000,18.295000,64.900000,2
coribe,BA,health_beauty,2,121.290000,2.0000,20.550000,100.740000,2
"coronel joao sa",BA,toys,1,341.080000,2.0000,41.090000,299.990000,1
"coronel joao sa",BA,perfumery,1,136.380000,5.0000,37.380000,99.000000,1
"coronel joao sa",BA,bed_bath_table,1,212.250000,10.0000,23.250000,189.000000,1
correntina,BA,watches_gifts,1,91.580000,3.0000,16.790000,29.000000,2
correntina,BA,housewares,1,96.530000,2.0000,23.540000,72.990000,1
cotegipe,BA,perfumery,1,103.150000,2.0000,18.160000,84.990000,1
cravolandia,BA,sports_leisure,1,187.830000,2.0000,47.930000,139.900000,1
crisopolis,BA,stationery,1,54.820000,5.0000,17.920000,36.900000,1
crisopolis,BA,garden_tools,1,130.110000,2.0000,21.210000,108.900000,1
crisopolis,BA,fashion_bags_accessories,1,57.680000,5.0000,17.780000,39.900000,1
cristopolis,BA,NULL,1,44.820000,1.0000,23.300000,21.520000,1
cristopolis,BA,costruction_tools_garden,1,69.130000,1.0000,27.240000,41.890000,1
"cruz das almas",BA,bed_bath_table,5,228.948333,8.1667,26.920000,125.098333,5
curaca,BA,computers_accessories,2,128.165000,5.5000,23.665000,104.500000,2
"dario meira",BA,construction_tools_lights,1,163.060000,1.0000,64.060000,99.000000,1
"dario meira",BA,telephony,1,62.200000,1.0000,22.210000,39.990000,1
"dias d avila",BA,computers_accessories,1,61.790000,3.0000,16.790000,45.000000,1
"dias d'avila",BA,telephony,4,152.055000,1.7500,14.000000,138.055000,3
"dom basilio",BA,telephony,2,39.665000,1.0000,19.425000,20.240000,2
"dom macedo costa",BA,cool_stuff,1,82.830000,1.0000,26.930000,55.900000,1
"elisio medrado",BA,computers_accessories,1,44.920000,1.0000,22.090000,22.830000,1
"elisio medrado",BA,perfumery,1,73.830000,3.0000,16.840000,56.990000,1
"entre rios",BA,sports_leisure,2,82.880000,1.5000,17.375000,65.505000,2
"entre rios",BA,watches_gifts,2,443.585000,8.0000,32.085000,411.500000,2
"erico cardoso",BA,sports_leisure,1,24.880000,1.0000,16.790000,8.090000,1
esplanada,BA,computers_accessories,1,73.960000,1.0000,17.960000,56.000000,1
esplanada,BA,watches_gifts,1,1139.270000,8.0000,34.270000,1105.000000,1
esplanada,BA,toys,1,174.110000,6.0000,53.210000,120.900000,1
esplanada,BA,health_beauty,1,352.340000,8.0000,22.340000,330.000000,1
esplanada,BA,garden_tools,1,68.660000,1.0000,19.660000,49.000000,1
"euclides da cunha",BA,bed_bath_table,2,63.820000,1.6667,18.910000,86.533333,2
eunapolis,BA,telephony,5,66.616667,1.0000,18.383333,32.640000,6
fatima,BA,auto,2,310.153333,4.3333,23.460000,150.633333,2
